"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
47,"NCT03744026","Safety and Efficacy of Transient Opening of the Blood-brain Barrier (BBB) With the SonoCloud-9","SC9-GBM-01","Recruiting","No Results Available","Glioblastoma, Adult","Device: SonoCloud-9|Drug: Carboplatin","Dose limiting toxicity (DLT) of number of activated ultrasound beams|Blood-Brain Barrier (BBB) opening","CarThera","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SC9-GBM-01","February 18, 2019","February 20, 2020","July 1, 2020","November 16, 2018",,"January 27, 2020","CHU, Angers, France|Hôpital Neurologique Pierre Wertheimer, Bron, France|Hôpital de La Timone, Marseille, France|Hôpital de la Pitié-Salpêtrière, Paris, France",,"https://ClinicalTrials.gov/show/NCT03744026"
48,"NCT03596086","HSV-tk + Valacyclovir + SBRT + Chemotherapy for Recurrent GBM",,"Recruiting","No Results Available","Glioblastoma Multiforme|Astrocytoma, Grade III","Drug: ADV/HSV-tk (gene therapy)","Survival in months from Study drug administration (Day 0)|Progression Free Survival assessments will be done every 6-8 weeks for 1st year thereafter every 12-14 weeks until disease progression or death","David Baskin MD|Center for Cell and Gene Therapy, Baylor College of Medicine|The Methodist Hospital System","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","62","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Pro00016414","December 11, 2017","December 30, 2023","December 30, 2025","July 23, 2018",,"August 28, 2019","Houston Methodist Neurological Institute, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03596086"
49,"NCT04214392","Chimeric Antigen Receptor (CAR) T Cells With a Chlorotoxin Tumor-Targeting Domain for the Treatment of MPP2+ Recurrent or Progressive Glioblastoma",,"Recruiting","No Results Available","Recurrent Glioblastoma|Recurrent Malignant Glioma|Recurrent WHO Grade II Glioma|Recurrent WHO Grade III Glioma","Biological: Chlorotoxin (EQ)-CD28-CD3zeta-CD19t-expressing CAR T-lymphocytes","Dose limiting toxicity (DLT)|Chimeric antigen receptor (CAR) T cell|Endogenous T cell|Cytokine levels in TCF, PB and CSF|Progression free survival time|Disease response|Overall survival (OS)|CAR T cells detected in tumor tissue|Chlorotoxin-targeted antigen expression levels in tumor tissue|Biomathematical modeling of tumor growth","City of Hope Medical Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","19309|NCI-2019-08393","February 26, 2020","February 6, 2023","February 6, 2023","January 2, 2020",,"May 1, 2020","City of Hope Medical Center, Duarte, California, United States",,"https://ClinicalTrials.gov/show/NCT04214392"
50,"NCT02869243","A Dose Escalation Phase I Study Of Human- Recombinant Bone Morphogenetic Protein 4 Administrated Via CED In GBM Patients",,"Recruiting","No Results Available","Glioblastoma","Drug: hrBMP4","DLTs|Tumor response|Quality of Life|Maximum observed plasma concentration of BMP4 (Cmax)|Lowest concentration of BMP4 in the blood (Ctrough)|Area under the curve (AUC∞)|Central and peripheral volumes of distribution (Vd)|Clearance|Half-life (t1/2)","Stemgen|ORION Clinical Services","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","15","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","hrBMP4-001","July 18, 2017","January 25, 2019","August 5, 2019","August 16, 2016",,"November 29, 2018","Tel Aviv Sourasky Medical Center, Tel Aviv, Israel|Istituto Neurologico Carlo Besta, Milano, Italy|VU University Medical Center, Amsterdam, Netherlands|Erasmus University Medical Center, Department of Neurosurgery, Rotterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT02869243"
51,"NCT03463733","Hydroxy-urea and Temozolomide in Patients With a Recurrent Malignant Brain Tumor (Glioblastoma)","HUTMZ","Recruiting","No Results Available","Glioma|Glioblastoma","Drug: Hydroxyurea|Drug: Temozolomide","Maximal tolerated dose (MTD) hydroxyurea in combination with dose intense temozolomide","M.E. van Linde|Massachusetts General Hospital|VU University Medical Center","All","Child, Adult, Older Adult","Phase 1","54","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Pro-16/11","March 2, 2018","June 1, 2021","June 1, 2022","March 13, 2018",,"August 29, 2019","VU University Medical Center, Amsterdam, Noord-Holland, Netherlands",,"https://ClinicalTrials.gov/show/NCT03463733"
52,"NCT03119064","BrUOG 329 GBM Onyvide With TMZ","329","Recruiting","No Results Available","Glioblastoma Multiforme|Glioblastoma|GBM","Drug: Nanoliposomal Irinotecan|Drug: Temozolomide","MTD|Response|PFS|Toxicities","Heinrich Elinzano, MD|Merrimack Pharmaceuticals|Rhode Island Hospital|Brown University","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","25","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BrUOG 329","November 30, 2017","July 2019","July 2020","April 18, 2017",,"January 7, 2019","Rhode Island Hospital, Providence, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT03119064"
53,"NCT02525692","Oral ONC201 in Recurrent GBM, H3 K27M Glioma, and Midline Glioma",,"Recruiting","No Results Available","Glioblastoma|Diffuse Midline Glioma|H3 K27M Glioma|Thalamic Glioma|Infratentorial Glioma|Basal Ganglia Glioma","Drug: ONC201","Progression-free survival","Oncoceutics, Inc.","All","16 Years and older   (Child, Adult, Older Adult)","Phase 2","76","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ONC006","January 2016","December 2020","December 2020","August 17, 2015",,"January 6, 2020","University of California, Los Angeles, Los Angeles, California, United States|Miami Cancer Institute, Miami, Florida, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|University of Utah, Huntsman Cancer Institute, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02525692"
54,"NCT03914742","BGB-290 and Temozolomide in Treating Patients With Recurrent Gliomas With IDH1/2 Mutations",,"Recruiting","No Results Available","IDH1 Mutation|IDH2 Mutation|Recurrent Glioblastoma|Recurrent WHO Grade II Glioma|Recurrent WHO Grade III Glioma","Drug: PARP Inhibitor BGB-290|Drug: Temozolomide|Procedure: Therapeutic Conventional Surgery","Phase I: Maximum tolerated dose (MTD)|Phase I: Percentage of participants with adverse events|Phase II: Tumor radiographic response|Phase II: Progression-free survival (PFS)|Phase II: Overall survival (OS)|Duration of response|Percentage of participants with serious or life-threatening adverse events","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins|National Cancer Institute (NCI)|BeiGene","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","100","Other|NIH|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ABTC-1801|UM1CA137443","January 3, 2020","April 2022","July 2023","April 16, 2019",,"March 16, 2020","UAB Comprehensive Cancer Center, Birmingham, Alabama, United States|Yale University, New Haven, Connecticut, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Josephine Ford Cancer Center at Henry Ford Hospital, Detroit, Michigan, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Wake Forest University Comprehensive Cancer Center, Winston-Salem, North Carolina, United States|Cleveland Clinic Taussig Cancer Center, Cleveland, Ohio, United States|Hillman Cancer Center at University of Pittsburgh Cancer Institute, Pittsburgh, Pennsylvania, United States|University of Virginia, Charlottesville, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03914742"
55,"NCT03896568","Oncolytic Adenovirus DNX-2401 in Treating Patients With Recurrent High-Grade Glioma",,"Recruiting","No Results Available","IDH1 wt Allele|Recurrent Anaplastic Astrocytoma|Recurrent Glioblastoma|Recurrent Gliosarcoma|Recurrent Malignant Glioma","Biological: Oncolytic Adenovirus Ad5-DNX-2401|Procedure: Therapeutic Conventional Surgery","Maximum-tolerated dose (MTD)|Incidence of adverse events (AEs)|Tumor response|Time to progression|Virus replication in tumor|Virus shedding|Immunogenicity based on adenoviral (AdV) antibodies","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","Other|NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2015-0953|NCI-2019-01195|P30CA016672","February 12, 2019","February 28, 2020","February 28, 2020","April 1, 2019",,"November 5, 2019","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03896568"
56,"NCT01904123","STAT3 Inhibitor WP1066 in Treating Patients With Recurrent Malignant Glioma or Progressive Metastatic Melanoma in the Brain",,"Recruiting","No Results Available","Metastatic Malignant Neoplasm in the Brain|Metastatic Melanoma|Recurrent Brain Neoplasm|Recurrent Glioblastoma|Recurrent Malignant Glioma","Other: Laboratory Biomarker Analysis|Other: Pharmacological Study|Drug: STAT3 Inhibitor WP1066","Maximum tolerated dose (MTD) of JAK2 inhibitor WP1066, defined as the dose level at which 0/6 or 1/6 patients experience a dose limiting toxicity (DLT) with at least 2 patients experiencing DLT at the next higher dose level|Incidence of adverse events assessed using NCI CTC|Pharmacokinetic analysis of the in vivo bioavailability of JAK2 inhibitor WP1066|Proportion of patients reaching complete response or partial response|Duration of response|Overall survival|Progression free survival|The proportion of patients who develop additional melanoma metastatic lesions|Change in regulatory T cell numbers|Change in the number of peripheral blood mononuclear cells expressing phosphorylated STAT3","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","33","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2012-0358|NCI-2015-00163|P30CA016672|P50CA127001|P50CA093459","July 13, 2018","July 31, 2021","July 31, 2021","July 22, 2013",,"December 12, 2019","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01904123"
57,"NCT02704858","Safety and Efficacy Study in Recurrent Grade IV Glioma",,"Recruiting","No Results Available","Glioblastoma Multiforme","Drug: Perillyl alcohol","Phase 1 Primary Outcome: Number of Participants with Abnormal Laboratory Values and/or Adverse Events That Are Related to Treatment|Phase 2 Primary Outcome: Number of Participants Who Are Alive Each Month For 6 Months|Phase 2 Primary Outcome: Number of Participants With Abnormal Laboratory Values and/or Adverse Events That Are Related To Treatment","Neonc Technologies, Inc.|ClinDatrix, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","43","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NEO100-01","April 2016","June 2020","October 2020","March 10, 2016",,"August 28, 2018","University of Southern California, Los Angeles, California, United States|Cleveland Clinic Florida, Weston, Florida, United States|Cleveland Clinic, Cleveland, Ohio, United States|University of Washington Seattle Cancer Care Alliance, Seattle, Washington, United States|University of Wisconsin Hospital and Clinic, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT02704858"
58,"NCT03277638","Laser Interstitial Thermotherapy (LITT) Combined With Checkpoint Inhibitor for Recurrent GBM (RGBM)",,"Recruiting","No Results Available","Glioblastoma, Adult","Drug: Pembrolizumab at 7 days prior|Drug: Pembrolizumab at 14 days post|Drug: Pembrolizumab at 35 days post|Procedure: Laser Interstitial Thermotherapy","Phase I Objective: Optimal timing of LITT with pembrolizumab|Phase II Objective: Tumor Response|Progression free survival|overall survival|The proportion of patients who achieve progression free survival at 6 months (PFS6)|The proportion of patients who achieve progression free survival at 12 months (PFS12)|The proportion of patients who achieve progression free survival at 24 months (PFS24)","Case Comprehensive Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","34","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CASE3316","November 29, 2017","May 2020","July 2020","September 11, 2017",,"January 3, 2020","University Hospitals, Seidman Cancer Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT03277638"
59,"NCT04044937","Fluoroethyltyrosine in Detecting Tumors in Participants With Recurrent Intracranial Tumors",,"Recruiting","No Results Available","Intracranial Neoplasm|Low Grade Glioma|Recurrent Glioblastoma|Recurrent World Health Organization (WHO) Grade II Glioma|Recurrent WHO Grade III Glioma","Drug: F-18 Fluoroethyltyrosine (FET)|Procedure: Positron Emission Tomography (PET)","Binary characterization of study as positive/negative for recurrence disease in three groups of patients with intracranial neoplasms with concern for recurrence or progression on conventional imaging (Population 1)|Binary characterization of study as positive/negative for high grade glial neoplasms in patients prior to primary treatment with planned biopsy or surgical resection (Population 2)|Intracranial lesion standardized uptake values (SUV): SUVvolume, SUVmax and SUVpeak at each imaging time point.|Binary characterization of follow-up imaging as positive/negative for tumor recurrence|Misclassification rate, sensitivity, specificity, positive predictive value, negative predictive value and accuracy for FET PET in the evaluation of recurrence of low-grade gliomas.","Thomas Hope|University of California, San Francisco","All","3 Years and older   (Child, Adult, Older Adult)","Phase 2","199","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","171022|NCI-2018-01875","October 29, 2018","August 1, 2021","August 1, 2022","August 5, 2019",,"February 17, 2020","University of California, San Francisco, San Francisco, California, United States",,"https://ClinicalTrials.gov/show/NCT04044937"
60,"NCT03893487","Fimepinostat in Treating Brain Tumors in Children and Young Adults","PNOC016","Recruiting","No Results Available","Diffuse Intrinsic Pontine Glioma|Recurrent Anaplastic Astrocytoma|Recurrent Glioblastoma|Recurrent Malignant Glioma|Recurrent Medulloblastoma","Drug: Fimepinostat|Procedure: Therapeutic Conventional Surgery","Penetration of fimepinostat across the blood brain barrier (BBB)","Sabine Mueller, MD, PhD|Pacific Pediatric Neuro-Oncology Consortium|Cannonball Kids' Cancer Foundation|Curis, Inc.|University of California, San Francisco","All","3 Years to 39 Years   (Child, Adult)","Early Phase 1","30","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18086|PNOC016","August 7, 2019","June 2022","June 2027","March 28, 2019",,"February 25, 2020","Rady Children's Hospital, San Diego, California, United States|University of California, San Francisco, San Francisco, California, United States|University of Florida, Gainesville, Florida, United States|Johns Hopkins Hospital, Baltimore, Maryland, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Washington University in St Louis, Saint Louis, Missouri, United States|The University Children's Hospital in Zurich, Zürich, Zurich, Switzerland",,"https://ClinicalTrials.gov/show/NCT03893487"
61,"NCT02661282","Autologous CMV-Specific Cytotoxic T Cells and Temozolomide in Treating Patients With Glioblastoma",,"Recruiting","No Results Available","Cytomegalovirus Positive|Glioblastoma|Gliosarcoma|Malignant Glioma|Recurrent Brain Neoplasm|Recurrent Glioblastoma","Biological: Autologous Cytomegalovirus-specific Cytotoxic T-lymphocytes|Other: Laboratory Biomarker Analysis|Drug: Temozolomide|Procedure: Therapeutic Conventional Surgery","Maximum feasible dose (MFD) or maximum tolerated dose (MTD) (recurrent glioblastoma cohort)|Immunological effects in tumor tissue (recurrent glioblastoma cohort)|Progression free survival (PFS) (recurrent glioblastoma cohort)|Overall survival (OS) (newly diagnosed glioblastoma cohort)|Time to progression (recurrent glioblastoma cohort)|Objective response rate (ORR) (newly diagnosed glioblastoma cohort)|Median duration of response (newly diagnosed glioblastoma cohort)|Progression free survival (PFS) (newly diagnosed glioblastoma cohort)|Incidence of toxicity (newly diagnosed glioblastoma cohort)","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","54","Other|NIH","Interventional","Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2014-0899|NCI-2016-00183|P30CA016672","June 1, 2016","June 1, 2020","June 1, 2020","January 22, 2016",,"January 29, 2020","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02661282"
62,"NCT02192359","Carboxylesterase-Expressing Allogeneic Neural Stem Cells and Irinotecan Hydrochloride in Treating Patients With Recurrent High-Grade Gliomas",,"Recruiting","No Results Available","Recurrent Anaplastic Astrocytoma|Recurrent Anaplastic Oligoastrocytoma|Recurrent Anaplastic Oligodendroglioma|Recurrent Glioblastoma|Recurrent Gliosarcoma|Recurrent Malignant Glioma|Recurrent WHO Grade III Glioma","Biological: Carboxylesterase-expressing Allogeneic Neural Stem Cells|Drug: Irinotecan|Drug: Irinotecan Hydrochloride|Other: Laboratory Biomarker Analysis|Other: Pharmacological Study","Incidence of dose limiting toxicities (DLTs) graded according to the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.0|Incidence of all attributable toxicities graded according to the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.0|Pharmacokinetics parameters, including maximum concentration and area under the curve of irinotecan and SN-38 in dialysate and plasma|Development of neural stem cells (NSC) immunogenicity after first and repeat exposures|Clinical benefit, defined by tumor response based on magnetic resonance imaging (MRI) results|Fate of the neural stem cells (NSCs), defined by NSC persistence","City of Hope Medical Center|National Cancer Institute (NCI)","All","18 Years to 69 Years   (Adult, Older Adult)","Phase 1","53","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","14108|NCI-2014-01463|P30CA033572|R01CA198076","March 7, 2016","March 7, 2021","July 7, 2021","July 16, 2014",,"March 20, 2020","City of Hope Medical Center, Duarte, California, United States",,"https://ClinicalTrials.gov/show/NCT02192359"
63,"NCT03749187","BGB-290 and Temozolomide in Treating Isocitrate Dehydrogenase (IDH)1/2-Mutant Grade I-IV Gliomas","PNOC017","Recruiting","No Results Available","Glioblastoma|IDH1 Gene Mutation|IDH2 Gene Mutation|Low Grade Glioma|Malignant Glioma|Recurrent Glioblastoma|Recurrent WHO Grade II Glioma|Recurrent WHO Grade III Glioma|WHO Grade II Glioma|WHO Grade III Glioma","Drug: PARP Inhibitor BGB-290|Drug: Temozolomide","Summary of Dose Limiting Toxicities Assessed by Common Terminology Criteria for Adverse Events (CTCAE) v5.0","University of California, San Francisco|BeiGene USA, Inc.|Pacific Pediatric Neuro-Oncology Consortium","All","13 Years to 25 Years   (Child, Adult)","Phase 1","78","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18083|NCI-2018-02345|PNOC017","April 3, 2019","June 2022","July 2027","November 21, 2018",,"March 2, 2020","Children's Hospital Los Angeles, Los Angeles, California, United States|Children's Hospital and Research Center at Oakland, Oakland, California, United States|Rady Children's Hospital - San Diego, San Diego, California, United States|University of California, San Francisco, San Francisco, California, United States|Yale University, New Haven, Connecticut, United States|Children's National Medical Center, Washington, District of Columbia, United States|University of Florida Health Science Center - Gainesville, Gainesville, Florida, United States|Lurie Children's Hospital-Chicago, Chicago, Illinois, United States|Johns Hopkins University/Sidney Kimmel Cancer Center, Baltimore, Maryland, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Massachusetts General Hospital, Charlestown, Massachusetts, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Oregon Health and Science University, Portland, Oregon, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, United States|Texas Children's Hospital, Houston, Texas, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, United States|Hospital for Sick Children, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03749187"
64,"NCT02717962","Study of VAL-083 in Patients With MGMT Unmethylated, Bevacizumab-naive Glioblastoma in the Adjuvant or Recurrent Setting",,"Recruiting","No Results Available","Glioma|Glioblastoma|Glioblastoma Multiforme|GBM|Brain Cancer","Drug: VAL-083, Dianhydrogalactitol","Overall Survival|Estimate Progression-free Survival|Estimate Median Progression-Free Survival|Estimate Median Overall Survival|Estimate Overall Response Rate|Estimate Duration of Response|Safety evaluation of VAL-083 in patients|Quality of Life|Plasma Pharmacokinetics","DelMar Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","107","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","DLM-16-001","January 20, 2017","September 2020","June 2021","March 24, 2016",,"March 17, 2020","University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02717962"
65,"NCT01466686","Low Dose Radiation Therapy for Glioblastoma Multiforme",,"Recruiting","No Results Available","High Grade Glioma","Radiation: Low Dose Fractionated Radiation Therapy (LDFRT)|Drug: Temozolomide","Response Rate|Time to Progression|Overall Survival Rate|Hematologic Toxicity|Radiation-Associated Long-Term Toxicity","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","49","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","J11120|NA_00065863","September 2012","September 2021","September 2022","November 8, 2011",,"December 5, 2019","Sibley Memorial Hospital, Washington, District of Columbia, United States|The Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Suburban Hospital, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01466686"
66,"NCT03743662","Nivolumab With Radiation Therapy and Bevacizumab for Recurrent MGMT Methylated Glioblastoma",,"Recruiting","No Results Available","Glioblastoma","Radiation: Re-irradiation (RT)|Drug: Bevacizumab|Drug: Nivolumab|Procedure: Re-resection","Overall survival|6 month progression-free survival|Median progression-free survival|Objective response rate","Memorial Sloan Kettering Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","94","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","18-400","November 12, 2018","November 2021","November 2021","November 16, 2018",,"March 10, 2020","Miami Cancer Institute Baptist Health South Florida, Miami, Florida, United States|Memoral Sloan Kettering Basking Ridge, Basking Ridge, New Jersey, United States|Memorial Sloan Kettering Monmouth, Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen, Montvale, New Jersey, United States|Memorial Sloan Kettering Commack, Commack, New York, United States|Memorial Sloan Kettering Westchester, Harrison, New York, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering Rockville Centre, Rockville Centre, New York, United States|Memorial Sloan Kettering Nassau, Uniondale, New York, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03743662"
67,"NCT02626364","Study of Crenolanib in Recurrent/Refractory Glioblastoma With PDGFRA Gene Amplification",,"Recruiting","No Results Available","Recurrent/Refractory Glioblastoma","Drug: crenolanib","Progression-free survival at 6 months|Overall response rate by RANO criteria|Number of participants with treatment-related adverse events as assessed by CTCAE v4.03|Change in symptom burden using The MD Anderson Symptom Inventory-Brain Tumor Module (MDASI-BT)|Overall survival","Arog Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","33","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ARO-015","April 2016","April 2020","April 2020","December 10, 2015",,"February 17, 2020","MD Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02626364"
68,"NCT03463265","ABI-009 (Nab-Rapamycin) in Recurrent High Grade Glioma and Newly Diagnosed Glioblastoma",,"Recruiting","No Results Available","High Grade Recurrent Glioma and Newly Diagnosed Glioblastoma","Drug: ABI-009|Drug: Bevacizumab|Drug: Temozolomide|Drug: Lomustine|Radiation: radiation|Drug: Marizomib","objective overall response rate according to RANO 2010 criteria|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|progression free survival|overall survival","Aadi, LLC","All","18 Years and older   (Adult, Older Adult)","Phase 2","56","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GBM007","August 1, 2018","December 2020","June 2021","March 13, 2018",,"December 10, 2019","St. Joseph Heritage Healthcare, Fullerton, California, United States|Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States|John Wayne Cancer Institute, Santa Monica, California, United States",,"https://ClinicalTrials.gov/show/NCT03463265"
69,"NCT03243851","Study on Low Dose Temozolomide Plus Metformin or Placebo in Patient With Recurrent or Refractory Glioblastoma","METT","Recruiting","No Results Available","Glioblastoma","Drug: Temozolomide+Metformin|Drug: Temozolomide+Placebo","Comparison of progression-free survival obtained from progression-free survival curve|Response Rate|Tumor control probability|6 month progression free survival|6 month overall survival|Assessment of the quality of life of cancer patients","Yong-Kil Hong|Saint Vincent's Hospital, Korea|Incheon St.Mary's Hospital|National Cancer Center, Korea|Konkuk University Hospital|Seoul National University Bundang Hospital|Samsung Medical Center|Seoul National University Hospital|Asan Medical Center|Ajou University School of Medicine|Severance Hospital|Chonnam National University Hospital|Seoul St. Mary's Hospital","All","19 Years and older   (Adult, Older Adult)","Phase 2","108","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","KNOG-1501","November 21, 2016","December 31, 2019","December 31, 2019","August 9, 2017",,"April 4, 2019","National Cancer Center Korea, Ilsan, Gyeonggi-Do, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-Do, Korea, Republic of|Ajou University Hospital, Suwon-si, Gyeonggi-Do, Korea, Republic of|Chonnam National University Hwasun Hospital, Hwasun, Jeollanam-Do, Korea, Republic of|Incheon St. Mary's Hospital, Incheon, Korea, Republic of|Seoul National University Hospital, Seoul, Korea, Republic of|Severance Hospital, Seoul, Korea, Republic of|Konkuk University Hospital, Seoul, Korea, Republic of|Asan Medical Center, Seoul, Korea, Republic of|Samsung Medical Center, Seoul, Korea, Republic of|Seoul St Mary's Hospital, Seoul, Korea, Republic of|Saint Vincent's Hospital, Korea, Suwon-si, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT03243851"
